,HAM31,HAM32,HAM33,HAM34,HAM35,HAM36,HAM37,HFRX Commodity Index,DJUBS Commodity,Morningstar CLS,Newedge CTI
2012-04-30,-0.0146,0.0103,-0.002,-0.0198,,-0.0117,0.0136,-0.0027,-0.0043,0.0146,-0.0057
2012-05-31,-0.001,-0.0251,-0.0204,-0.0575,,-0.0243,-0.0244,-0.0074,-0.0914,-0.0295,-0.0238
2012-06-30,0.008,0.0252,0.0346,-0.0052,,0.0013,0.0138,0.0279,0.0549,-0.0307,-0.0018
2012-07-31,0.0306,0.0235,0.0533,0.0026,0.0178,0.0323,0.0196,0.023,0.0647,-0.0384,0.0151
2012-08-31,0.0034,0.0026,0.0052,0.0117,0.0265,0.059,0.0358,0.0183,0.013,0.0055,0.014
2012-09-30,-0.0155,-0.0005,-0.002,0.0372,0.0097,-0.0279,-0.0023,-0.01,0.0171,-0.0261,-0.0045
2012-10-31,-0.0214,-0.04,-0.0128,0.0045,0.0337,-0.0006,-0.0158,-0.0167,-0.0387,-0.0219,-0.0154
2012-11-30,-0.0079,-0.0075,-0.0089,-0.0131,-0.01,-0.0022,-0.0096,-0.0021,0.0005,-0.0019,-0.0096
2012-12-31,-0.0087,-0.0124,-0.0011,-0.0008,0.0008,-0.0074,0.0043,-0.0069,-0.0261,-0.0121,0.0016
2013-01-31,0.0005,0,0.0069,-0.0041,-0.0007,-0.0046,0.0123,0.0092,0.024,0.0249,0.0067
2013-02-28,-0.0119,0.0208,-0.0039,0.0135,-0.0091,0.005,0.0166,0.0025,-0.0409,0.0029,-0.0136
2013-03-31,-0.0069,-0.0043,0.0049,0.0311,-0.0106,-0.0121,0.0042,-0.002,0.0067,-0.0005,-0.0032
2013-04-30,-0.0035,0.0052,-0.005,0.0057,-0.0094,0.0133,-0.0053,-0.0057,-0.0279,-0.0209,-0.011
2013-05-31,-0.0026,-0.0552,-0.0138,-0.0008,-0.0033,-0.0309,-0.0029,-0.0019,-0.0224,-0.0141,-0.0061
2013-06-30,-0.0196,0.0169,,-0.0056,0.0363,0.0147,0.016,0.0117,-0.0471,0.0364,-0.0097
2013-07-31,-0.004,0.0254,,0.01,0.0098,-0.0208,0.0082,0.0075,0.0136,0.0129,0.0123

